,host_is_superhost
1177,t
1178,No mencionado
1179,f
1180,f
1181,t
1182,f
1183,f
1184,f
1185,No mencionado
1186,t
1187,No mencionado
1188,f
1189,f
1190,f
1191,t
1192,f
1193,f
1194,t
1195,t
1196,t
1197,f
1198,t
1199,f
1200,t
1201,t
1202,f
1203,f
1204,t
1205,f
1206,f
1207,f
1208,f
1209,f
1210,t
1211,f
1212,f
1213,t
1214,t
1215,f
1216,f
1217,t
1218,f
1219,f
1220,f
1221,t
1222,t
1223,t
1224,f
1225,f
1226,f
1227,f
1228,f
1229,No mencionado
1230,f
1231,t
1232,f
1233,f
1234,f
1235,f
1236,t
1237,t
1238,t
1239,No mencionado
1240,f
1241,f
1242,f
1243,f
1244,f
1245,t
1246,t
1247,f
1248,f
1249,f
1250,f
1251,f
1252,No mencionado
1253,f
1254,f
1255,f
1256,f
1257,f
1258,f
1259,f
1260,f
1261,f
1262,f
1263,f
1264,f
1265,f
1266,t
1267,t
1268,No mencionado
1269,f
1270,t
1271,t
1272,f
1273,t
1274,f
1275,t
1276,f
1277,No mencionado
1278,f
1279,f
1280,t
1281,t
1282,t
1283,f
1284,t
1285,t
1286,f
1287,f
1288,f
1289,t
1290,f
1291,t
1292,f
1293,t
1294,t
1295,t
1296,t
1297,f
1298,t
1299,t
1300,f
1301,f
1302,f
1303,t
1304,f
1305,No mencionado
1306,No mencionado
1307,f
1308,f
1309,f
1310,t
1311,f
1312,t
1313,f
1314,f
1315,f
1316,f
1317,t
1318,f
1319,No mencionado
1320,t
1321,f
1322,t
1323,f
1324,t
1325,f
1326,f
1327,f
1328,No mencionado
1329,f
1330,f
1331,No mencionado
1332,t
1333,f
1334,f
1335,t
1336,f
1337,t
1338,f
1339,t
1340,t
1341,t
1342,f
1343,f
1344,t
1345,f
1346,t
1347,f
1348,t
1349,f
1350,t
1351,f
1352,f
1353,f
1354,f
1355,f
1356,t
1357,f
1358,t
1359,f
1360,f
1361,f
1362,t
1363,f
1364,f
1365,t
1366,f
1367,f
1368,f
1369,f
1370,f
1371,t
1372,f
1373,f
1374,f
1375,f
1376,f
1377,t
1378,f
1379,f
1380,f
1381,t
1382,t
1383,f
1384,t
1385,f
1386,f
1387,t
1388,t
1389,f
1390,t
1391,f
1392,t
1393,f
1394,f
1395,f
1396,f
1397,f
1398,f
1399,f
1400,f
1401,t
1402,f
1403,f
1404,No mencionado
1405,f
1406,t
1407,t
1408,f
1409,f
1410,t
1411,t
1412,t
1413,f
1414,f
1415,No mencionado
1416,t
1417,t
1418,f
1419,f
1420,f
1421,f
1422,t
1423,f
1424,f
1425,t
1426,f
1427,t
1428,f
1429,f
1430,f
1431,t
1432,f
1433,t
1434,t
1435,t
1436,f
1437,t
1438,f
1439,f
1440,No mencionado
1441,f
1442,f
1443,f
1444,f
1445,f
1446,f
1447,f
1448,t
1449,t
1450,f
1451,f
1452,f
1453,f
1454,f
1455,f
1456,f
1457,f
1458,f
1459,f
1460,No mencionado
1461,f
1462,t
1463,f
1464,f
1465,t
1466,f
1467,f
1468,t
1469,t
1470,f
1471,f
1472,f
1473,f
1474,f
1475,t
1476,t
1477,f
1478,f
1479,f
1480,t
1481,f
1482,f
1483,No mencionado
1484,No mencionado
1485,f
1486,f
1487,f
1488,f
1489,f
1490,f
1491,t
1492,f
1493,t
1494,f
1495,f
1496,t
1497,f
1498,f
1499,t
1500,f
1501,t
1502,f
1503,f
1504,f
1505,t
1506,t
1507,t
1508,t
1509,t
1510,f
1511,t
1512,t
1513,No mencionado
1514,f
1515,t
1516,t
1517,t
1518,f
1519,t
1520,f
1521,f
1522,No mencionado
1523,f
1524,f
1525,No mencionado
1526,f
1527,f
1528,f
1529,f
1530,f
1531,t
1532,f
1533,f
1534,f
1535,f
1536,f
1537,f
1538,f
1539,f
1540,f
1541,f
1542,f
1543,f
1544,f
1545,f
1546,f
1547,f
1548,f
1549,f
1550,f
1551,f
1552,t
1553,f
1554,t
1555,f
1556,t
1557,t
1558,f
1559,t
1560,t
1561,t
1562,t
1563,t
1564,t
1565,t
1566,f
1567,t
1568,t
1569,t
1570,f
1571,f
1572,f
1573,f
1574,f
1575,t
1576,f
1577,f
1578,f
1579,f
1580,f
1581,f
1582,f
1583,t
1584,t
1585,t
1586,t
1587,f
1588,f
1589,t
1590,f
1591,f
1592,t
1593,f
1594,f
1595,f
1596,f
1597,f
1598,t
1599,f
1600,f
1601,f
1602,f
1603,t
1604,t
1605,f
1606,f
1607,f
1608,t
1609,f
1610,f
1611,f
1612,t
1613,t
1614,f
1615,f
1616,f
1617,f
1618,f
1619,f
1620,t
1621,t
1622,f
1623,f
1624,f
1625,f
1626,f
1627,t
1628,t
1629,f
1630,f
1631,f
1632,t
1633,f
1634,t
1635,t
1636,f
1637,f
1638,f
1639,f
1640,f
1641,t
1642,f
1643,f
1644,f
1645,f
1646,f
1647,f
1648,f
1649,f
1650,t
1651,f
1652,t
1653,f
1654,f
1655,f
1656,f
1657,t
1658,f
1659,f
1660,f
1661,f
1662,f
1663,f
1664,f
1665,f
1666,f
1667,f
1668,f
1669,f
1670,f
1671,f
1672,f
1673,f
1674,t
1675,f
1676,f
1677,f
1678,t
1679,f
1680,f
1681,f
1682,f
1683,f
1684,t
1685,t
1686,t
1687,t
1688,t
1689,t
1690,t
1691,t
1692,t
1693,f
1694,No mencionado
1695,f
1696,f
1697,f
1698,t
1699,t
1700,f
1701,f
1702,f
1703,f
1704,f
1705,t
1706,t
1707,t
1708,f
1709,f
1710,f
1711,t
1712,f
1713,f
1714,f
1715,t
1716,t
1717,f
1718,t
1719,t
1720,f
1721,t
1722,t
1723,f
1724,f
1725,f
1726,t
1727,f
1728,f
1729,f
1730,No mencionado
1731,t
1732,t
1733,t
1734,f
1735,f
1736,t
1737,f
1738,f
1739,t
1740,t
1741,t
1742,f
1743,t
1744,f
1745,f
1746,t
1747,f
1748,t
1749,f
1750,t
1751,f
1752,f
1753,f
1754,f
1755,f
1756,f
1757,f
1758,f
1759,f
1760,f
1761,f
1762,f
1763,f
1764,f
1765,t
1766,f
1767,f
1768,t
1769,f
1770,t
1771,t
1772,t
1773,t
1774,f
1775,f
1776,f
1777,f
1778,t
1779,f
1780,t
1781,f
1782,t
1783,f
1784,t
1785,f
1786,t
1787,f
1788,t
1789,No mencionado
1790,t
1791,f
1792,f
1793,t
1794,f
1795,t
1796,t
1797,f
1798,f
1799,f
1800,f
1801,t
1802,f
1803,f
1804,t
1805,No mencionado
1806,t
1807,f
1808,f
1809,t
1810,t
1811,t
1812,t
1813,t
1814,f
1815,t
1816,t
1817,t
1818,f
1819,t
1820,f
1821,f
1822,f
1823,f
1824,f
1825,f
1826,f
1827,t
1828,t
1829,t
1830,f
1831,f
1832,f
1833,t
1834,No mencionado
1835,t
1836,No mencionado
1837,t
1838,f
1839,f
1840,f
1841,f
1842,f
1843,t
1844,t
1845,t
1846,f
1847,t
1848,f
1849,f
1850,f
1851,t
1852,t
1853,t
1854,f
1855,t
1856,f
1857,f
1858,f
1859,f
1860,f
1861,f
1862,f
1863,f
1864,f
1865,f
1866,f
1867,t
1868,f
1869,t
1870,f
1871,f
1872,t
1873,f
1874,f
1875,f
1876,f
1877,f
1878,f
1879,f
1880,t
1881,f
1882,t
1883,t
1884,f
1885,t
1886,f
1887,f
1888,f
1889,f
1890,f
1891,f
1892,t
1893,f
1894,f
1895,f
1896,t
1897,f
1898,t
1899,t
1900,f
1901,f
1902,f
1903,f
1904,No mencionado
1905,No mencionado
1906,No mencionado
1907,f
1908,t
1909,t
1910,f
1911,f
1912,t
1913,t
1914,t
1915,f
1916,f
1917,t
1918,t
1919,t
1920,f
1921,f
1922,t
1923,f
1924,t
1925,t
1926,t
1927,f
1928,t
1929,t
1930,t
1931,f
1932,f
1933,f
1934,f
1935,f
1936,f
1937,f
1938,t
1939,f
1940,f
1941,f
1942,f
1943,f
1944,t
1945,f
1946,f
1947,f
1948,No mencionado
1949,f
1950,f
1951,f
1952,t
1953,f
1954,t
1955,f
1956,f
1957,f
1958,t
1959,f
1960,f
1961,f
1962,f
1963,f
1964,f
1965,f
1966,f
1967,f
1968,f
1969,f
1970,f
1971,f
1972,f
1973,f
1974,f
1975,f
1976,f
1977,f
1978,f
1979,t
1980,f
1981,f
1982,f
1983,f
1984,f
1985,t
1986,t
1987,t
1988,f
1989,f
1990,f
1991,f
1992,f
1993,t
1994,t
1995,f
1996,f
1997,f
1998,f
1999,f
2000,f
2001,f
2002,f
2003,f
2004,f
2005,t
2006,f
2007,f
2008,t
2009,t
2010,f
2011,f
2012,f
2013,f
2014,f
2015,f
2016,f
2017,f
2018,t
2019,f
2020,t
2021,t
2022,t
2023,f
2024,f
2025,f
2026,f
2027,f
2028,f
2029,t
2030,t
2031,f
2032,f
2033,f
2034,t
2035,f
2036,f
2037,f
2038,t
2039,f
2040,f
2041,t
2042,t
2043,t
2044,f
2045,t
2046,f
2047,t
2048,t
2049,f
2050,f
2051,t
2052,f
2053,t
2054,f
2055,t
2056,f
2057,f
2058,No mencionado
2059,f
2060,t
2061,f
2062,f
2063,t
2064,f
2065,f
2066,f
2067,f
2068,f
2069,f
2070,f
2071,f
2072,f
2073,f
2074,f
2075,f
2076,f
2077,f
2078,f
2079,t
2080,f
2081,No mencionado
2082,f
2083,f
2084,f
2085,f
2086,f
2087,No mencionado
2088,No mencionado
2089,f
2090,f
2091,f
2092,f
2093,f
2094,f
2095,f
2096,f
2097,f
2098,f
2099,f
2100,f
2101,No mencionado
2102,f
2103,f
2104,f
2105,f
2106,f
2107,f
2108,f
2109,t
2110,t
2111,t
2112,f
2113,No mencionado
2114,f
2115,f
2116,f
2117,t
2118,f
2119,f
2120,t
2121,f
2122,t
2123,f
2124,f
2125,f
2126,f
2127,t
2128,t
2129,f
2130,t
2131,f
2132,f
2133,t
2134,f
2135,f
2136,f
2137,t
2138,t
2139,t
2140,t
2141,f
2142,t
2143,t
2144,f
2145,f
2146,t
2147,f
2148,t
2149,t
2150,t
2151,t
2152,f
2153,f
2154,f
2155,t
2156,f
2157,f
2158,f
2159,f
2160,t
2161,f
2162,f
2163,t
2164,f
2165,t
2166,No mencionado
2167,No mencionado
2168,t
2169,No mencionado
2170,f
2171,f
2172,t
2173,f
2174,t
2175,f
2176,f
2177,f
2178,f
2179,f
2180,f
2181,t
2182,t
2183,t
2184,t
2185,t
2186,No mencionado
2187,t
2188,f
2189,t
2190,f
2191,f
2192,f
2193,f
2194,f
2195,f
2196,f
2197,f
2198,f
2199,f
2200,f
2201,f
2202,f
2203,f
2204,t
2205,f
2206,t
2207,f
2208,f
2209,f
2210,f
2211,f
2212,f
2213,f
2214,No mencionado
2215,No mencionado
2216,f
2217,t
2218,f
2219,f
2220,No mencionado
2221,t
2222,f
2223,f
2224,f
2225,f
2226,No mencionado
2227,t
2228,f
2229,f
2230,f
2231,t
2232,f
2233,f
2234,f
2235,f
2236,f
2237,t
2238,No mencionado
2239,t
2240,t
2241,t
2242,f
2243,t
2244,f
2245,f
2246,f
2247,t
2248,f
2249,f
2250,f
2251,f
2252,No mencionado
2253,No mencionado
2254,No mencionado
2255,t
2256,No mencionado
2257,t
2258,t
2259,t
2260,t
2261,f
2262,t
2263,t
2264,f
2265,t
2266,f
2267,t
2268,f
2269,t
2270,t
2271,f
2272,t
2273,t
2274,f
2275,f
2276,f
2277,f
2278,t
2279,No mencionado
2280,t
2281,t
2282,f
2283,f
2284,t
2285,t
2286,No mencionado
2287,t
2288,t
2289,f
2290,t
2291,f
2292,t
2293,t
2294,t
2295,f
2296,f
2297,f
2298,f
2299,f
2300,f
2301,f
2302,t
2303,t
2304,f
2305,t
2306,f
2307,f
2308,t
2309,t
2310,f
2311,f
2312,f
2313,f
2314,f
2315,No mencionado
2316,f
2317,f
2318,f
2319,f
2320,f
2321,f
2322,f
2323,t
2324,f
2325,f
2326,f
2327,f
2328,f
2329,No mencionado
2330,f
2331,t
2332,t
2333,f
2334,t
2335,f
2336,f
2337,f
2338,f
2339,f
2340,f
2341,t
2342,t
2343,f
2344,f
2345,f
2346,f
2347,t
2348,t
2349,f
2350,t
2351,f
2352,t
2353,t
2354,t
2355,t
2356,t
2357,t
2358,t
2359,f
2360,t
2361,f
2362,f
2363,t
2364,f
2365,f
2366,f
2367,f
2368,t
2369,t
2370,f
2371,f
2372,f
2373,f
2374,f
2375,f
2376,t
2377,f
2378,f
2379,t
2380,f
2381,f
2382,t
2383,f
2384,No mencionado
2385,t
2386,t
2387,f
2388,f
2389,f
2390,f
2391,t
2392,t
2393,f
2394,f
2395,f
2396,f
2397,f
2398,f
2399,f
2400,f
2401,f
2402,f
2403,f
2404,f
2405,t
2406,f
2407,f
2408,No mencionado
2409,f
2410,f
2411,f
2412,f
2413,t
2414,f
2415,f
2416,f
2417,f
2418,f
2419,f
2420,f
2421,f
2422,f
2423,f
2424,f
2425,f
2426,f
2427,f
2428,t
2429,f
2430,f
2431,f
2432,t
2433,f
2434,f
2435,t
2436,t
2437,f
2438,t
2439,f
2440,f
2441,f
2442,No mencionado
2443,f
2444,f
2445,f
2446,f
2447,f
2448,f
2449,f
2450,f
2451,t
2452,t
2453,f
2454,f
2455,f
2456,No mencionado
2457,f
2458,t
2459,t
2460,f
2461,t
2462,f
2463,f
2464,f
2465,f
2466,f
2467,t
2468,t
2469,f
2470,f
2471,f
2472,f
2473,f
2474,f
2475,f
2476,f
2477,f
2478,f
2479,f
2480,f
2481,t
2482,f
2483,t
2484,f
2485,f
2486,f
2487,f
2488,f
2489,t
2490,f
2491,f
2492,f
2493,f
2494,f
2495,f
2496,t
2497,t
2498,t
2499,f
2500,No mencionado
2501,No mencionado
2502,t
2503,f
2504,f
2505,f
2506,f
2507,f
2508,t
2509,f
2510,f
2511,f
2512,f
2513,t
2514,No mencionado
2515,t
2516,f
2517,f
2518,f
2519,f
2520,t
2521,f
2522,f
2523,f
2524,f
2525,f
2526,f
2527,f
2528,No mencionado
2529,f
2530,f
2531,f
2532,No mencionado
2533,t
2534,No mencionado
2535,f
2536,No mencionado
2537,t
2538,t
2539,f
2540,f
2541,f
2542,t
2543,t
2544,f
2545,f
2546,f
2547,f
2548,f
2549,f
2550,f
2551,f
2552,f
2553,No mencionado
2554,t
2555,t
2556,t
2557,No mencionado
2558,f
2559,t
2560,No mencionado
2561,f
2562,f
2563,f
2564,f
2565,f
2566,f
2567,t
2568,No mencionado
2569,f
2570,f
2571,t
2572,t
2573,t
2574,t
2575,f
2576,No mencionado
2577,t
2578,t
2579,f
2580,f
2581,f
2582,t
2583,f
2584,f
2585,f
2586,f
2587,f
2588,t
2589,t
2590,f
2591,t
2592,f
2593,t
2594,f
2595,f
2596,t
2597,t
2598,f
2599,t
2600,t
2601,f
2602,f
2603,f
2604,f
2605,f
2606,t
2607,f
2608,f
2609,No mencionado
2610,f
2611,f
2612,f
2613,f
2614,f
2615,f
2616,t
2617,t
2618,t
2619,f
2620,f
2621,f
2622,f
2623,f
2624,f
2625,f
2626,t
2627,t
2628,No mencionado
2629,No mencionado
2630,f
2631,t
2632,t
2633,f
2634,t
2635,t
2636,f
2637,f
2638,f
2639,f
2640,f
2641,f
2642,f
2643,f
2644,f
2645,f
2646,f
2647,t
2648,f
2649,f
2650,f
2651,f
2652,f
2653,f
2654,f
2655,t
2656,f
2657,t
2658,f
2659,f
2660,f
2661,f
2662,f
2663,f
2664,f
2665,f
2666,f
2667,f
2668,f
2669,f
2670,f
2671,f
2672,f
2673,f
2674,f
2675,f
2676,t
2677,f
2678,f
2679,f
2680,f
2681,t
2682,f
2683,f
2684,f
2685,f
2686,f
2687,f
2688,t
2689,f
2690,t
2691,f
2692,f
2693,f
2694,f
2695,f
2696,f
2697,f
2698,f
2699,f
2700,t
2701,f
2702,t
2703,t
2704,f
2705,f
2706,f
2707,f
2708,t
2709,f
2710,t
2711,f
2712,f
2713,f
2714,f
2715,f
2716,f
2717,t
2718,f
2719,f
2720,f
2721,f
2722,t
2723,No mencionado
2724,f
2725,f
2726,f
2727,t
2728,f
2729,f
2730,t
2731,t
2732,t
2733,t
2734,t
2735,t
2736,f
2737,t
2738,t
2739,t
2740,f
2741,t
2742,t
2743,t
2744,f
2745,t
2746,f
2747,f
2748,f
2749,t
2750,t
2751,f
2752,t
2753,t
2754,f
2755,t
2756,f
2757,f
2758,f
2759,f
2760,f
2761,f
2762,f
2763,t
2764,f
2765,f
2766,f
2767,t
2768,f
2769,f
2770,t
2771,f
2772,f
2773,t
2774,t
2775,f
2776,f
2777,f
2778,f
2779,f
2780,f
2781,f
2782,f
2783,f
2784,f
2785,f
2786,t
2787,f
2788,t
2789,t
2790,f
2791,No mencionado
2792,f
2793,f
2794,f
2795,t
2796,f
2797,t
2798,f
2799,t
2800,f
2801,t
2802,f
2803,f
2804,f
2805,t
2806,f
2807,t
2808,f
2809,t
2810,f
2811,t
2812,t
2813,f
2814,f
2815,f
2816,f
2817,t
2818,f
2819,t
2820,f
2821,t
2822,f
2823,f
2824,f
2825,f
2826,f
2827,f
2828,f
2829,f
2830,f
2831,f
2832,f
2833,t
2834,t
2835,t
2836,f
2837,t
2838,t
2839,t
2840,f
2841,No mencionado
2842,t
2843,t
2844,f
2845,t
2846,f
2847,t
2848,f
2849,f
2850,f
2851,f
2852,f
2853,f
2854,f
2855,f
2856,f
2857,f
2858,f
2859,f
2860,f
2861,f
2862,f
2863,f
2864,f
2865,t
2866,t
2867,f
2868,f
2869,f
2870,f
2871,f
2872,f
2873,t
2874,t
2875,t
2876,f
2877,f
2878,f
2879,f
2880,t
2881,f
2882,t
2883,f
2884,f
2885,f
2886,t
2887,f
2888,f
2889,No mencionado
2890,f
2891,f
2892,f
2893,f
2894,t
2895,f
2896,f
2897,t
2898,f
2899,t
